x,y,z,t
-61.804,16.864,-52.579,0
-62.791,16.703,-44.858,0
-65.872,34.118,-56.64,0
-69.447,37.424,-39.074,0
-67.688,42.207,-66.598,0
-72.243,50.01,-51.485,0
-71.196,60.629,-62.016,0
-73.633,60.622,-34.481,0
-71.974,71.335,-47.583,0
-69.248,80.622,-33.823,0
-67.015,79.849,-59.011,0
-64.86,89.999,-46.75,0
22.754,17.132,-52.462,0
24.089,16.778,-47.644,0
25.974,32.373,-58.245,0
28.999,38.658,-41.581,0
27.939,41.895,-65.18,0
32.809,49.067,-51.654,0
31.483,58.451,-63.257,0
35.056,59.481,-37.482,0
32.476,69.926,-48.703,0
29.898,80.621,-35.295,0
27.71,78.573,-59.194,0
25.531,89.372,-45.626,0
